,dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
500,1,5.0,2.6,4.3,95,708645,776210,3178,1,4,8,49,0,0,0,8,0,0,7,595,773.4,401.8,288.0,146.8,West Ham,Midfielder,Declan Rice
501,2,5.7,3.3,3.4,114,405482,961615,3061,5,1,6,46,0,0,0,3,0,0,14,485,662.0,300.1,690.0,165.6,West Ham,Midfielder,Tomas Soucek
502,1,5.9,3.2,1.3,117,617175,590788,2795,6,4,8,38,0,0,0,4,0,0,5,480,574.8,719.5,532.0,182.7,West Ham,Midfielder,Pablo Fornals
503,1,4.2,2.3,0.3,30,52567,68358,961,0,1,2,19,0,0,0,0,0,0,2,203,225.6,21.3,44.0,29.1,West Ham,Defender,Issa Diop
504,0,3.9,2.4,3.6,48,677958,592295,1397,1,0,3,18,0,0,0,1,0,0,1,235,307.2,176.4,39.0,52.3,West Ham,Defender,Ben Johnson
505,0,4.7,2.0,0.7,2,143981,203080,90,0,0,0,1,0,0,0,0,0,2,0,11,20.4,0.0,0.0,2.0,West Ham,Goalkeeper,Alphonse Areola
506,0,5.6,1.6,0.0,30,9981,9609,549,1,0,1,10,0,0,0,0,0,0,0,98,85.4,122.8,115.0,32.3,West Ham,Midfielder,Nikola Vlasic
507,0,4.4,1.0,0.1,1,25343,22233,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,West Ham,Midfielder,Alex Kral
508,0,4.0,1.0,0.1,1,4751,3795,6,0,0,0,1,0,0,0,0,0,0,0,4,2.0,1.0,0.0,0.3,West Ham,Defender,Harrison Ashby
509,0,4.5,1.0,0.0,1,715,602,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,West Ham,Midfielder,Sonny Perkins
510,0,4.5,1.0,0.0,1,349,208,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,West Ham,Midfielder,Daniel Chesters
511,1,4.9,2.7,0.7,96,227335,217432,2970,2,1,11,40,0,0,0,4,0,0,8,511,527.8,660.9,144.0,133.2,Wolves,Midfielder,João Filipe Iria Santos Moutinho
512,0,4.9,1.7,0.1,17,14720,17055,900,0,0,1,20,0,0,0,1,0,0,0,165,195.4,18.1,29.0,24.3,Wolves,Defender,Willy Boly
513,1,4.7,3.6,13.4,138,2263674,1635017,3361,4,0,11,43,0,0,0,4,0,0,10,688,781.0,45.4,202.0,103.2,Wolves,Defender,Conor Coady
514,1,7.5,3.0,4.2,101,3042843,3027938,2630,6,5,11,32,0,0,0,5,2,0,11,266,470.8,506.7,746.0,171.2,Wolves,Forward,Raúl Jiménez
515,1,4.8,3.5,2.1,109,862203,753395,2706,2,0,11,30,0,0,0,6,0,0,6,540,694.6,112.2,214.0,102.3,Wolves,Defender,Romain Saïss
516,1,4.2,3.7,1.3,67,1025089,953784,1448,0,3,6,14,0,0,0,3,0,0,5,295,247.2,187.3,135.0,56.3,Wolves,Defender,Fernando Marçal
517,2,4.5,2.9,0.6,38,101553,53536,1022,2,0,2,22,0,0,0,1,0,0,2,178,229.8,174.2,144.0,54.9,Wolves,Defender,Jonathan Castro Otto
518,1,4.6,2.5,0.3,76,74263,67799,1945,2,3,5,29,0,0,0,4,0,0,5,308,348.6,180.0,279.0,80.9,Wolves,Midfielder,Leander Dendoncker
519,0,5.6,2.2,1.0,44,530240,581403,1069,1,1,5,10,0,0,0,0,0,0,0,168,192.0,271.1,300.0,76.6,Wolves,Midfielder,Adama Traoré
520,0,5.2,2.9,0.9,95,251079,312066,2659,4,2,9,34,0,0,0,9,0,0,7,509,629.6,436.7,237.0,130.4,Wolves,Midfielder,Rúben Diogo da Silva Neves
521,0,4.8,3.8,1.5,94,621237,657697,2131,0,1,9,18,0,0,0,1,0,0,9,412,346.2,289.3,266.0,90.3,Wolves,Defender,Nélson Cabral Semedo
522,0,5.5,2.7,0.2,70,132714,122412,1475,2,3,9,12,0,0,0,2,0,0,2,257,328.6,493.0,459.0,128.2,Wolves,Midfielder,Daniel Castelo Podence
523,0,4.5,3.5,1.3,106,575476,490622,2688,1,1,10,25,0,0,0,3,0,0,5,536,587.8,68.8,207.0,86.5,Wolves,Defender,Max Kilman
524,0,4.5,0.5,0.1,1,7872,34960,7,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.7,24.0,2.1,Wolves,Midfielder,Morgan Gibbs-White
525,0,6.2,1.7,0.1,22,17478,15974,459,1,1,0,14,0,0,0,3,0,0,0,88,103.4,205.1,219.0,52.6,Wolves,Midfielder,Pedro Lomba Neto
526,0,3.9,1.8,1.6,14,337223,381010,306,0,0,1,5,0,0,0,1,0,0,0,56,42.6,22.1,8.0,7.1,Wolves,Defender,Ki-Jana Hoever
527,0,5.6,1.4,0.4,30,60803,97317,562,0,1,0,7,0,0,0,0,0,0,0,43,21.0,48.3,262.0,32.0,Wolves,Forward,Fabio Silva
528,0,4.3,1.5,0.2,3,7550,15040,135,0,0,0,3,0,0,0,0,0,4,0,20,34.2,0.0,0.0,3.4,Wolves,Goalkeeper,John Ruddy
529,1,5.6,2.4,0.3,66,135774,158964,1328,2,1,7,15,0,0,0,0,0,0,2,197,242.0,247.2,390.0,87.9,Wolves,Midfielder,Francisco Machado Mota de Castro Trincão
530,2,4.1,3.8,1.3,87,385429,325163,1826,1,4,7,26,0,0,0,4,0,0,10,367,390.8,323.2,174.0,89.1,Wolves,Defender,Rayan Ait Nouri
531,4,5.2,3.9,8.3,146,1765685,1134280,3285,0,1,11,40,1,0,0,3,0,121,11,722,947.0,30.0,0.0,97.5,Wolves,Goalkeeper,José Malheiro de Sá
532,0,4.4,1.8,0.1,7,12082,11827,179,0,0,1,1,0,0,0,0,0,0,0,32,17.0,32.0,2.0,5.1,Wolves,Midfielder,Luke Cundle
533,0,4.4,1.0,0.2,1,40835,37967,12,0,0,0,0,0,0,0,0,0,0,0,5,2.0,1.7,2.0,0.6,Wolves,Midfielder,Chem Campbell
534,1,5.4,2.7,3.4,81,2119461,1898820,1811,5,1,7,22,0,0,0,2,0,0,11,288,322.2,268.3,481.0,106.7,Wolves,Forward,Hee-Chan Hwang
535,0,4.4,1.5,0.0,6,696,558,360,0,0,0,6,0,0,0,1,0,0,0,52,87.0,4.5,28.0,12.0,Wolves,Defender,Toti António Gomes
536,0,5.5,2.5,0.0,20,2256,1393,203,0,3,0,5,0,0,0,0,0,0,2,67,99.4,83.4,118.0,30.1,Wolves,Midfielder,Francisco Jorge Tomás Oliveira
